Company Name (EN),Company Name (FA),Website,Company URL,Lower Employee Count,Upper Employee Count,Business Area,Founded Year
Zarcable Kerman,زرکابل کرمان,http://www.zarcable.com,https://jobinja.ir/companies/zarcable-kerman,201,500,تولید و صنایع,1381
Filimo,فیلیمو,http://www.filimo.com,https://jobinja.ir/companies/filimo,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1393
Ahannet,آهن نت,http://www.ahannet.com,https://jobinja.ir/companies/ahannet-1,11,50,واردات و صادرات,1394
Nezarat Gostar Imen,نظارت گستر ایمن,http://negaco.com,https://jobinja.ir/companies/nezarat-gostar-imen,11,50,واردات و صادرات,1382
Ramzinex,رمزینکس,http://ramzinex.com,https://jobinja.ir/companies/ramzinex,51,200,مالی و اعتباری,1396
Orico,اوریکو,http://www.orico.co.ir,https://jobinja.ir/companies/orico,2,10,کامپیوتر، فناوری اطلاعات و اینترنت,1389
Melal Credit Institute,تجارت الکترونیک و فناوری اطلاعات ملل (فام),https://fam724.ir/,https://jobinja.ir/companies/melal-credit-institute,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1395
TOP,تاپ,https://www.TOP.ir,https://jobinja.ir/companies/taban-ati-pardaz,51,200,مالی و اعتباری,1396
Hyper Famili Com,هایپر فامیلی,http://hyperfamili.com,https://jobinja.ir/companies/hyperfamili-com,N/A,N/A,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,N/A
SISHEMI,ایده سازان سین شمیران,http://sishemi.com,https://jobinja.ir/companies/sin-shemiran,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1398
Novin Travel,نوین تراول,https://www.novintravel.com,https://jobinja.ir/companies/novin-travel,11,50,گردشگری و هتل‌ها,1395
Agape,آگاپه,http://www.agapengo.com,https://jobinja.ir/companies/agape-1,11,50,سازمان‌های مردم‌نهاد (NGO),1397
Negaheno Group,گروه نگاه نو,http://negahenoco.com,https://jobinja.ir/companies/negaheno-group,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1380
Pishro Sanaat,پیشرو صنعت نفت آسیا (آیرومارت),http://www.iromart.com,https://jobinja.ir/companies/iromart,51,200,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,1393
iToll,آیتول,http://www.iToll.ir,https://jobinja.ir/companies/kian-ict,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1397
Techran,تکران,http://www.techranco.ir,https://jobinja.ir/companies/techran-1,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1398
ALN,هولدینگ ای ال ان,http://www.vesam24.co,https://jobinja.ir/companies/mahoor-2,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1397
Tadbir Salamat Marham,تدبیر سلامت مرهم,https://pezeshket.com,https://jobinja.ir/companies/tadbir-salamat-marham,11,50,خدمات درمانی، پزشکی و سلامت,1397
Kavano,کاوانو,http://www.kavano.co,https://jobinja.ir/companies/kavano,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Nitech Park,خانه خلاق و نوآوری محتوای نیتک,https://nitechpark.com,https://jobinja.ir/companies/vasni,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1387
MRSHABAKE,مسترشبکه,http://mrshabake.com,https://jobinja.ir/companies/mrshabake,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1393
Porsline,پرس لاین,https://porsline.ir,https://jobinja.ir/companies/porsline,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Adab Visa,ادب ویزا,https://adabvisa.com/,https://jobinja.ir/companies/arad-international-educational-counselors,11,50,آموزش، مدارس و دانشگاه‌ها,1392
Ghesta,قسطا,http://ghesta.ir,https://jobinja.ir/companies/ghesta,11,50,مالی و اعتباری,1397
Zebline,زبلاین,https://zebline.com,https://jobinja.ir/companies/Zebline,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1398
Favin,فاوین,https://favin.ir,https://jobinja.ir/companies/fater-tejarat,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1397
Persian Migrant Consultants,مهاجرتی پرشین مایگرنت,http://www.persianmigrant.com,https://jobinja.ir/companies/persian-migrant-consultants,11,50,وکالت و حقوقی,1385
