,company_name,company_url
197,رمیس,https://jobinja.ir/companies/remis
198,دلتا,https://jobinja.ir/companies/delta-1
199,سحاب,https://jobinja.ir/companies/sahab-pardaz
200,بقراط,https://jobinja.ir/companies/amirkabir-data-miners
201,کبال,https://jobinja.ir/companies/cobal
202,چارگون,https://jobinja.ir/companies/chargoon
203,تدبیر پرداز,https://jobinja.ir/companies/tadbirpardaz
204,هلدینگ دانش بنیان گرین وب,https://jobinja.ir/companies/greenweb
205,رکورد,https://jobinja.ir/companies/recordsd
206,رهپویان پردازش گستر صحرا,https://jobinja.ir/companies/rahpoyan-pardazesh-gostar-sahra
207,رایان بورس,https://jobinja.ir/companies/rayanbourse
208,فراز اس ام اس,https://jobinja.ir/companies/faraz-sms
209,ایران هتل آنلاین,https://jobinja.ir/companies/iran-hotel-online
210,مایکت,https://jobinja.ir/companies/myket
211,گروه فناوری اطلاعات هلو,https://jobinja.ir/companies/torfehnegar
212,آسان بار,https://jobinja.ir/companies/asanbar
213,داده پردازی مبین هاست,https://jobinja.ir/companies/mobinhost
214,باگلوس,https://jobinja.ir/companies/bugloos
215,ویستا سامانه آسا,https://jobinja.ir/companies/asa-1
216,ترجمیک,https://jobinja.ir/companies/tarjomic
217,طراحی سایت دارکوب,https://jobinja.ir/companies/darkoob-web-design
218,مکتب شریف,https://jobinja.ir/companies/maktab-sharif
219,تارتن دژ,https://jobinja.ir/companies/tartan-dezh-aryana
220,کارگزاری مفید,https://jobinja.ir/companies/mofid-securities
221,زومیت,https://jobinja.ir/companies/zoomit
222,همیار تربیت کودک گهواره,https://jobinja.ir/companies/sharif-creative-sol
223,یکتانت,https://jobinja.ir/companies/yektanet
224,بیاموز,https://jobinja.ir/companies/b-amooz
225,آسانیتو,https://jobinja.ir/companies/pulsedesign
226,گروه شرکت‌های پرورش داده‌ها,https://jobinja.ir/companies/dpco
227,کوییز آو کینگز,https://jobinja.ir/companies/quiz-of-kings
228,حسابگر پرداز غرب (اینترنت تک نت),https://jobinja.ir/companies/taknet
229,همراه مکانیک,https://jobinja.ir/companies/hamrah-mechanic
230,همکاران سیستم,https://jobinja.ir/companies/system-group
231,دکتر ساینا,https://jobinja.ir/companies/drsaina
232,افق فرا ویژن,https://jobinja.ir/companies/ofv-co-1
233,الوپیک,https://jobinja.ir/companies/alopeyk-1
234,داده پردازی رسپینا,https://jobinja.ir/companies/respina-networks-beyond
235,ارتباط فردا,https://jobinja.ir/companies/efarda
236,آژانس دیجیتال مارکتینگ راتین,https://jobinja.ir/companies/ratin-1
237,مهیمن,https://jobinja.ir/companies/mohaymen
238,پردازش اطلاعات مالی مبنا,https://jobinja.ir/companies/mabna-dp
239,فناوران سپهر ماهان,https://jobinja.ir/companies/sepehr-mahan-tech-co
240,توشن,https://jobinja.ir/companies/webii-1
241,اورتا,https://jobinja.ir/companies/averta-1
242,اسرا پرواز (ایوار),https://jobinja.ir/companies/asra-parvaz-eavar
243,باسلام,https://jobinja.ir/companies/basalam
244,گروه تک سامان هور,https://jobinja.ir/companies/taksaman
245,وب 24,https://jobinja.ir/companies/web24.ir
246,باما,https://jobinja.ir/companies/%E2%80%8Cbama.ir
247,متین,https://jobinja.ir/companies/matin
248,مالتینا,https://jobinja.ir/companies/tazmin-sanat
249,آیتورز,https://jobinja.ir/companies/itours
250,یسناتیم,https://jobinja.ir/companies/sourena-1
251,پارمیس,https://jobinja.ir/companies/parmis-it
252,پارس فناوران مبتکر,https://jobinja.ir/companies/pfm
253,مهندسی پژوهشی فراگستر پویا,https://jobinja.ir/companies/faragostar-company
254,تجارت همراه روناش,https://jobinja.ir/companies/ronashco
255,رایان مبین ایرسا,https://jobinja.ir/companies/an-international-company
256,برتینا,https://jobinja.ir/companies/bertina
257,تجارت الکترونیک اول,https://jobinja.ir/companies/septa-1
258,میاره,https://jobinja.ir/companies/miare
259,اعتماد یدک پارس,https://jobinja.ir/companies/etemad-yadake-pars
260,مثبت سبز,https://jobinja.ir/companies/mosbatesabz
261,فالنیک (ایران اچ پی),https://jobinja.ir/companies/falnic-%28iranhp%29
262,تپسی,https://jobinja.ir/companies/tap30-1
263,لندو,https://jobinja.ir/companies/lendo
264,استودیو پاییزان,https://jobinja.ir/companies/paeezanstudio
265,سیتی نت,https://jobinja.ir/companies/citynet_ir
266,سامانه آهن,https://jobinja.ir/companies/samaneahan
267,ایرساپرداز پاسارگاد (تهران کلاب),https://jobinja.ir/companies/irsapardaz
268,پارس پویش فن آور,https://jobinja.ir/companies/parspooyesh
269,پارس پک,https://jobinja.ir/companies/parvasystem
270,نرم افزاری آفاق,https://jobinja.ir/companies/afaghsoft
271,بیمه بازار,https://jobinja.ir/companies/BimeBazar
272,وادا,https://jobinja.ir/companies/vada
273,آژانس خلاقیت وبسیما,https://jobinja.ir/companies/websima
274,آسیاتک,https://jobinja.ir/companies/asiatech
275,نوماتک,https://jobinja.ir/companies/nomatec
276,ایما‌روش,https://jobinja.ir/companies/ima_niniplus
277,حامی سیستم شریف,https://jobinja.ir/companies/hamisystem
278,اقامت 24,https://jobinja.ir/companies/eghamat24com
279,انتقال داده ماهان (ماهان نت),https://jobinja.ir/companies/mahannet
280,خانومی,https://jobinja.ir/companies/khanoumi
281,نرم افزاری آموت,https://jobinja.ir/companies/amoot
282,بادبادک هفت آسمان,https://jobinja.ir/companies/tgbsco
283,مدیانا,https://jobinja.ir/companies/mediana
284,فلایتیو,https://jobinja.ir/companies/flightio
285,گروه حصین,https://jobinja.ir/companies/hasin
286,طاقچه,https://jobinja.ir/companies/taaghche
287,هلدینگ پرشین یوتاب,https://jobinja.ir/companies/persian
288,آپارات,https://jobinja.ir/companies/sabaidea
289,بانی مد,https://jobinja.ir/companies/banimode
290,گروه نرم افزاری پیوست,https://jobinja.ir/companies/payvast
291,داده پردازی فراتک,https://jobinja.ir/companies/faratech
292,ارکید فارمد,https://jobinja.ir/companies/orchidpharmed
293,هاست ایران,https://jobinja.ir/companies/hostiran
294,عصر فرا ارتباط,https://jobinja.ir/companies/asrefaraertebat
295,فرامحتوا,https://jobinja.ir/companies/faramohtava
296,میزگرد نرم‌افزار,https://jobinja.ir/companies/roundtableapps
297,شبکه ویدئوکنفرانس ایران (شوکا),https://jobinja.ir/companies/shooka
298,آژانس تبلیغاتی فلش,https://jobinja.ir/companies/felesh
299,دیجی‌‌کالا,https://jobinja.ir/companies/digikala
300,اسنپ فود,https://jobinja.ir/companies/snappfood
301,گروه طبیعت زنده,https://jobinja.ir/companies/tezlabs
302,علی بابا,https://jobinja.ir/companies/alibaba
303,تپسل,https://jobinja.ir/companies/tapsell
304,آفرینش کتاب الکترونیک فیروزان (فیدیبو),https://jobinja.ir/companies/fidibo
305,دفتر شما,https://jobinja.ir/companies/daftareshoma
306,زرین پال,https://jobinja.ir/companies/zarinpal
307,یارا,https://jobinja.ir/companies/yara
308,اندیش سازان راهکارهای عصر نوین,https://jobinja.ir/companies/hsoft/jobs
309,گروه معماری سپیدار,https://jobinja.ir/companies/sepidar-architecture-group/jobs
310,دلاور,https://jobinja.ir/companies/delavar/jobs
311,کارتن نفیس,https://jobinja.ir/companies/nafis-pack/jobs
312,پخش کاسپین,https://jobinja.ir/companies/caspian-distribution-company/jobs
313,چتر آگاهی راشا,https://jobinja.ir/companies/chatr-agahi-rasha/jobs
314,زیست پویش,https://jobinja.ir/companies/zist-poyesh/jobs
315,الماس برق ایرانیان,https://jobinja.ir/companies/almas-bargh-iranian-1/jobs
316,بازرگانی ام تی,https://jobinja.ir/companies/memo-tex/jobs
317,آکوتهویه سیال,https://jobinja.ir/companies/akohex/jobs
318,هتل ایران زمین,https://jobinja.ir/companies/iran-zamin-10/jobs
319,برنا الکترونیک,https://jobinja.ir/companies/borna-electronics-co-1/jobs
320,گروه مهندسی سیج,https://jobinja.ir/companies/sage-civil-group/jobs
321,هیراد,https://jobinja.ir/companies/hirad-19/jobs
322,چکامه صنعت اسپادانا,https://jobinja.ir/companies/chakameh-sanaat-espadana/jobs
323,ساخت 24,https://jobinja.ir/companies/sakht24/jobs
324,یراق پارس,https://jobinja.ir/companies/yaragh-pars/jobs
325,گیاه پزشکی پارسه,https://jobinja.ir/companies/no-andishan-3/jobs
326,عماد سیر خراسان,https://jobinja.ir/companies/emadseir/jobs
327,کلینیک دیبا,https://jobinja.ir/companies/diba-clinic/jobs
